User Rating Count,Price,Age Rating,Size,lowest_review,highest_review,average_review,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_sia,sub_sia,excitement_score,attractive_score,Icon1,Icon2,Icon3,Icon4
1229,0.99,4.0,28633088,0.34,0.9763,0.81494,4532,2074,2458,5,4.128644314868804,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.473,0.265,0.007168458781362007,0.16688833114830412,0.013930400280225654,-0.26902265137560377,0.030641967320008217
61,0.0,4.0,165155840,-0.7436,0.7351,0.028266666666666676,2034,1560,474,3,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.99,3.99,2.1900000000000004,0.0,0.577,0.302,0.0,-0.32445276652172456,0.019382051869441357,-0.038924273112847435,-0.16177410333132863
960,9.99,12.0,364954624,-0.8469,0.994,0.5770714285714286,4466,1663,2803,2,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.09712172830381313,-0.07372926904600553,0.007778744059919844,0.1542085327468154
50,0.0,4.0,120520704,-0.0721,0.9808,0.6362625000000001,1603,1512,91,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2,0.99,0.99,0.99,0.0,0.0,0.181,0.0029154518950437317,-0.11715935155854545,0.4619576065137312,0.2607825930335383,-0.010359913946947099
47,0.0,17.0,88013824,-0.8555,0.9749,0.48401249999999996,2544,2504,40,2,4.128644314868804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,21.0,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.6001915531459133,-0.21265509346243047,-0.02621030920532517,-0.026050044547874587
268,2.99,12.0,719197184,-0.5809,0.9861,0.4325,3532,1440,2092,7,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.99,1.99,1.9899999999999998,0.565,0.0,0.111,0.005479452054794521,0.10536058446583706,-0.12342445036973168,-0.16422348054792146,-0.023008861955447824
4136,9.99,9.0,179816448,-0.9471,0.9694,0.28165714285714283,3322,2175,1147,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.305,0.0,0.5701271882684854,0.02382793357816714,-0.04579342548190809,0.11373296834601777
8,0.0,9.0,83578880,-0.2665,-0.2665,-0.2665,2249,2249,0,2,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,0.99,4.99,2.74,0.734,0.0,0.277,0.0,-0.29764591083477876,0.06269237535494064,-0.03715401692851565,-0.23093542975796486
22,0.0,4.0,61297664,0.0,0.8074,0.55285,3287,2748,539,9,4.128644314868804,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.20898677350005723,0.017885368014623877,-0.14758959394741133,0.23746894736073348
24566,0.0,9.0,79907840,0.5423,0.9887,0.9309666666666667,3538,1458,2080,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,10,0.99,99.99,32.089999999999996,0.0,0.615,0.34700000000000003,0.005012531328320802,-0.28610108296466163,0.06447642797477326,-0.08351907366491991,-0.23267883541382436
