User Rating Count,Price,Age Rating,Size,Average User Rating,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,Description_PCA_0,Description_PCA_1,Subtitle_PCA_0,Subtitle_PCA_1,Name_PCA_0,Name_PCA_1,Icon1,Icon2,Icon3,Icon4,excitement_score,attractive_score,name_sia,sub_sia,lowest_review,highest_review,average_review
14073,0.0,9.0,115074048,3.5,5125,1372,-3753,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,10,2.99,99.99,26.790000000000003,-0.1977873596978904,-0.21527246421045534,1.2870727195502631,-0.045543188298743285,0.04682464315203041,-0.059829798425378264,0.05359105114974607,0.38923739067659624,-0.031006020966411658,-0.10011378973929533,0.266,0.0,0.0,0.0,0.5574,0.9983,0.9148461538461536
20527,4.99,9.0,800476160,5.0,2051,1505,-546,5,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,10,2.99,14.99,5.890000000000001,-0.20372891067825963,-0.19892142474576563,-0.022841602727621806,-0.03449941528467269,-0.02229137987659982,-0.04231867841787974,-0.08687208884935678,-0.05573682225597121,-0.08403362768196133,-0.032532725301090276,0.386,0.004366812227074236,0.0,0.762,0.8939,0.9989,0.9735400000000001
35,0.0,4.0,85395456,4.0,2219,1674,-545,3,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,1.99,19.99,9.239999999999998,-0.0815328407819895,-0.26501401804733843,-0.03864790976458813,0.08158730987675475,-0.5568172808157106,1.2533098024052858,-0.1227074306455923,-0.023404113021417962,0.013405837323467156,-0.09195883916486806,0.217,0.0,0.0,0.808,0.0,0.9081,0.5087125
68,2.99,9.0,55430144,3.5,4427,1913,-2514,1,4.128473804100228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.2344923079216948,-0.15731014282379382,-0.017837400283634532,-0.02698814809755365,-0.021750107217068996,-0.0414499491091415,-0.11354048486696225,-0.022514761547908463,-0.03920736921333187,0.16418618836567783,0.281,0.009433962264150943,0.0,0.0,-0.8176,0.9714,0.28955714285714285
801,0.0,9.0,19450880,4.5,2560,2554,-6,2,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,2.99,2.99,-0.23720636562867198,-0.15538882296197154,-0.017837400283634532,-0.02698814809755365,-0.03168409785605401,-0.05883665002722129,-0.06578242270749046,-0.00140650548613258,0.16585877354065878,0.015917934683343654,0.41800000000000004,0.016666666666666666,0.0,0.0,-0.4019,0.9773,0.511357142857143
96,0.0,4.0,23794688,4.0,3905,2290,-1615,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.1714423484433985,-0.15841946812535157,-0.017837400283634532,-0.02698814809755365,0.38273631063431146,0.10973497059158036,0.0909671350501891,0.36838396271410245,-0.02038546322967617,0.07478412293278942,0.179,0.0,0.0,0.0,-0.3182,0.9274,0.41136666666666666
8,0.0,4.0,247141376,4.0,2769,1526,-1243,8,3.9375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.10716548116653839,-0.21197090570961316,-0.01578253352684502,-0.024956399668570755,-0.04619696344805565,-0.10920110168023567,0.4051994108700637,-0.07645884716434036,-0.1867048899234367,0.010875053663148813,0.101,0.0,0.0,0.0,0.8066,0.8519,0.8368000000000001
64,0.0,4.0,270176256,4.5,3099,1737,-1362,1,4.128473804100228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,10,0.99,19.99,6.090000000000001,-0.08408393581322053,-0.21862921505604135,-0.02101174158789556,-0.023332139343994675,-0.037796611794944944,-0.026273642150302323,0.016004327228609883,0.1197162932480764,-0.03604988501026025,-0.05712335107229184,0.309,0.0,0.54,0.0,-0.6597,0.5859,0.13572857142857142
109,0.0,4.0,7521280,3.5,3653,2588,-1065,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.99,0.99,0.99,-0.23974778069457542,-0.13661387667137856,-0.017837400283634532,-0.02698814809755365,-0.02445258045198993,-0.07942852330743425,-0.15070992905414782,-0.02729203570563801,-0.11890797551561055,0.04286176835363255,0.1,0.0,0.0,0.0,-0.1921,0.9849,0.43622000000000005
27,0.0,4.0,184160256,2.5,2475,2475,0,2,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.1718281837584022,-0.20633104479101094,-0.017837400283634532,-0.02698814809755365,-0.3394289082108673,0.7326779521294683,-0.08842285914667625,-0.041804864714543484,-0.09004682959435999,-0.02995609565607153,0.234,0.0,0.0,0.0,-0.0762,0.91,0.5983111111111111
