User Rating Count,Price,Age Rating,Size,lowest_review,highest_review,average_review,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_PT,lang_RU,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_sia,sub_sia,excitement_score,attractive_score,Icon1,Icon2,Icon3,Icon4
12,0.0,4.0,21336064,-0.04084826734503799,,0.5298103177121979,2806,2725,81,3,4.082504200750426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.37,0.0,0.15,0.0,-0.1623965029336367,0.23355851025431137,-0.1726007642327225,-0.03797001233992686
614,0.0,4.0,97945600,,0.9177141951520115,,2437,2302,135,1,4.040987780040733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.99,99.99,31.156666666666666,0.0,0.0,0.157,0.0,-0.17329333898073684,0.22917289678490876,0.01995371985958952,-0.03605555539378269
15,0.0,4.0,121705472,-0.09450322354365209,,0.5376783463855899,2652,2534,118,2,3.9960157250408157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.99,9.99,4.99,0.592,0.0,0.191,0.0028735632183908046,-0.4323833496540208,-0.10325957157758056,-0.116787047627988,-0.02574089809849331
59,0.0,4.0,24027136,-0.07013929790776077,,0.5243379033848736,3290,3033,257,2,4.0669412574910595,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.398,0.0,0.331,0.0,-0.30949084823132667,-0.19649542973936618,0.0759747673075273,0.0730207138440727
17,0.0,12.0,14916751,-0.15582804195993058,,0.52530090240601,4512,4512,0,4,3.988524570612297,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.22299999999999998,0.015267175572519083,0.6877741635295533,-0.15549386728673723,-0.133256475864256,-0.014254670849024192
27,0.0,4.0,68061184,,0.9067899624668058,,2438,2335,103,3,4.1339926224449375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14.0,4,0.99,19.99,8.99,0.528,0.0,0.273,0.0,-0.2878341579794834,0.15491548172190284,-0.1479736442527985,0.02151095274990702
650,4.99,9.0,183074816,,0.9065097415017541,,4146,2021,2125,1,4.040987780040733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.201,0.0,-0.23479176082925454,-0.14013524263708035,0.27917124721967895,0.2535733619503052
204,2.99,4.0,197940224,,0.9064799209071016,,2630,1946,684,5,4.121202906918193,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.411,0.20099999999999998,0.0,0.04188237276120533,0.0923172748168956,0.07176061521357614,0.1487728329281087
107,4.99,12.0,708505600,,0.901052890406189,,3091,2842,249,21,3.667438517621502,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.99,6.99,6.99,0.674,0.0,0.295,0.006430868167202572,-0.19144437941866913,-0.29547471539029835,-0.024343296935401104,0.09692563685963762
6,0.0,17.0,22687744,-0.18215557419920378,,0.49080974550111706,3523,3523,0,3,3.8508063031251236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.99,9.99,9.99,0.46599999999999997,0.0,0.279,0.00425531914893617,-0.08291695207639654,0.072152735779994,0.1782697573168487,-0.011643866232232729
88,2.99,9.0,139713536,,0.9059087772777306,,2769,2064,705,1,4.040987780040733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.10692123089750682,0.42844105705436825,0.062312399853968366,0.1877022573626465
14,2.99,12.0,89304064,-0.15582804195993058,,0.548190959948307,3667,2412,1255,5,3.6286539926410315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.44399999999999995,0.0,0.191,0.0,0.5774878948108833,-0.06438712543002548,-0.04097610863356603,-0.10159029242943637
12,0.0,4.0,8323072,-0.07013929790776077,,0.5594539760640339,4527,2909,1618,1,4.040987780040733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.22,0.0,-0.2472025643739516,0.172558343762985,0.04067044944493267,-0.25737059401292667
354,4.99,12.0,42478592,,0.9099661502843069,,4647,1671,2976,7,3.982933378026659,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.4509982003972469,-0.10590154165478649,0.0007683896297899055,-0.11063391387413284
49,0.0,9.0,156438528,-0.13476487905787357,,0.5259654350568493,2513,2429,84,2,4.0669412574910595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.649,0.0,0.246,0.0033112582781456954,-0.3004529691357867,0.04363915028215661,0.10583732098042126,-0.15015579946314497
9,0.0,9.0,340698112,,0.9048058077276528,,2432,2196,236,1,4.040987780040733,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.99,7.99,4.99,0.434,0.0,0.23199999999999998,0.003289473684210526,-0.2829906932381759,-0.025554331180752007,-0.11296565106721126,-0.07773969386480457
