User Rating Count,Price,Age Rating,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,desc_word_count,excitement_score,attractive_score,size_log,dev_freq,dev_avg,lowest_review,highest_review,average_review
10.0,0.0,4.0,2570.0,1449.0,1121.0,7,2.99,14.99,6.41857142857143,2,0.0,3,584,0.224,0.0,5.0505072823033785,1,1.5046544558940846,-0.9289,0.9693,0.5841928571428572
1524.0,0.0,4.0,2654.0,1407.0,1247.0,10,0.99,29.99,8.09,6,0.0,4,259,0.29600000000000004,0.0,5.198831826044528,2,1.4943318376783883,-0.4404,0.9781,0.47883
37.0,0.0,4.0,1705.0,1493.0,212.0,5,1.99,44.99,15.59,3,0.0,7,148,0.19499999999999998,0.0,5.550129164453495,1,1.5046544558940846,0.0,0.7713,0.42041428571428574
13.0,2.99,4.0,2264.0,1663.0,601.0,1,0.0,0.0,0.0,3,0.0,1,173,0.083,0.0045871559633027525,4.392556599487022,1,1.5046544558940846,-0.7003,0.9843,0.13691666666666666
2856.0,0.0,9.0,1940.0,1403.0,537.0,9,0.99,99.99,35.656666666666666,2,0.0,5,204,0.236,0.0040650406504065045,7.035051336244573,1,1.5046544558940846,-0.8263,0.9912,0.5209222222222222
277.0,0.0,12.0,2423.0,1651.0,772.0,5,0.99,19.99,7.590000000000001,4,0.0,7,208,0.196,0.0,4.587845944155881,3,1.4445091365049814,0.2598,0.9935,0.6843400000000001
17.0,0.0,12.0,3183.0,3183.0,0.0,1,0.0,0.0,0.0,4,0.0,1,59,0.404,0.0,3.2374591993737685,2,1.3498065889908903,0.0,0.5859,0.31645
73.0,0.0,4.0,3409.0,1943.0,1466.0,1,0.0,0.0,0.0,3,0.0,3,147,0.293,0.0,3.3850289745805564,2,1.6388570863658862,0.0,0.9715,0.5191166666666667
486.0,3.99,4.0,3705.0,1955.0,1750.0,1,0.0,0.0,0.0,3,0.0,6,309,0.266,0.008571428571428572,5.781980873406346,5,1.6549957860680806,0.2732,0.9876,0.72536
1509.0,0.0,4.0,4209.0,1821.0,2388.0,1,0.0,0.0,0.0,4,0.0,1,245,0.20400000000000001,0.0,3.60604030671167,5,1.5266672657382379,0.4019,0.9856,0.8529499999999999
244.0,0.0,9.0,4430.0,2995.0,1435.0,8,0.99,94.99,32.864999999999995,10,0.7170000000000001,1,338,0.263,0.0,3.9362993753039763,1,1.5046544558940846,-0.6124,0.9081,0.4419
51.0,0.0,4.0,2901.0,2897.0,4.0,2,0.99,0.99,0.99,2,0.697,1,228,0.248,0.007462686567164179,5.071287874737525,1,1.5046544558940846,-0.0772,0.9806,0.7460111111111112
11.0,2.99,12.0,2870.0,2255.0,615.0,1,0.0,0.0,0.0,9,0.316,1,192,0.346,0.0,4.675264445391303,2,1.3498065889908903,0.3804,0.9204,0.5601333333333334
169.0,2.99,4.0,2458.0,1498.0,960.0,1,0.0,0.0,0.0,1,0.0,4,201,0.239,0.0,3.297837825711495,2,1.4943318376783883,-0.4122,0.9184,0.48718461538461544
131.0,0.0,4.0,3856.0,2102.0,1754.0,2,0.99,2.99,1.9900000000000002,4,0.0,4,144,0.28600000000000003,0.010050251256281407,2.9764891057311713,6,1.3840686866925278,0.1027,0.9177,0.43203333333333327
7.0,0.0,4.0,3247.0,2571.0,676.0,6,0.99,9.99,5.323333333333333,2,0.0,1,125,0.393,0.006993006993006993,3.7736910800910635,1,1.5046544558940846,0.0,0.0,0.0
58.0,7.99,4.0,4033.0,1400.0,2633.0,1,0.0,0.0,0.0,3,0.0,4,484,0.118,0.0,1.7000651443340433,1,1.5046544558940846,0.0,0.9647,0.6645615384615385
34606.0,0.0,17.0,2830.0,1407.0,1423.0,10,1.99,99.99,33.589999999999996,5,0.518,5,521,0.317,0.001763668430335097,5.030477659164971,1,1.5046544558940846,-0.8963,0.9958,0.4975416666666667
43.0,0.0,4.0,2821.0,2821.0,0.0,4,1.99,19.99,9.489999999999998,9,0.388,1,211,0.198,0.012096774193548387,3.608123959134541,1,1.5046544558940846,0.0,0.791,0.55585
312.0,0.0,12.0,3790.0,2405.0,1385.0,3,1.99,1.99,1.99,9,0.496,1,87,0.312,0.0,5.017483683586429,1,1.5046544558940846,-0.3476,0.9477,0.4218
6.0,0.0,12.0,2964.0,2964.0,0.0,1,0.0,0.0,0.0,3,0.661,1,57,0.19899999999999998,0.0,3.7111949998156244,1,1.5046544558940846,0.0,0.3818,0.12726666666666667
6239.0,0.0,9.0,1943.0,1396.0,547.0,10,0.99,19.99,6.49,2,0.0,4,410,0.29100000000000004,0.004395604395604396,5.637891530072844,1,1.5046544558940846,-0.5313,0.9899,0.8025181818181818
157.0,0.0,4.0,2862.0,2775.0,87.0,1,1.99,1.99,1.99,15,0.458,1,1,0.0,0.0,3.277611944586557,1,1.5046544558940846,-0.9204,0.7003,-0.04639999999999997
598.0,0.0,4.0,3934.0,2170.0,1764.0,1,0.0,0.0,0.0,3,0.608,1,631,0.23900000000000002,0.005657708628005658,4.326253425700414,1,1.5046544558940846,-0.5349,0.9242,0.3929
1068.0,0.0,9.0,3863.0,1777.0,2086.0,10,0.99,14.99,2.99,2,0.0,6,130,0.244,0.0,3.7654255943757846,5,1.6549957860680806,0.4098,0.9856,0.7049857142857142
10.0,0.0,4.0,3938.0,3938.0,0.0,1,0.0,0.0,0.0,3,0.0,1,71,0.29,0.0,3.7453535685966983,1,1.5046544558940846,0.9896,0.9897,0.98965
13433.0,0.0,4.0,4807.0,3839.0,968.0,1,0.99,0.99,0.99,1,0.0,1,157,0.245,0.0,3.378495363190713,3,1.3446981839963057,-0.1608,0.9802,0.5419666666666666
22.0,0.0,9.0,2297.0,2278.0,19.0,10,0.99,15.99,4.890000000000001,3,0.429,1,256,0.348,0.0,6.710898697862767,5,1.3341744852434736,-0.3632,0.9718,0.43397142857142856
38.0,0.0,4.0,2606.0,2606.0,0.0,1,0.0,0.0,0.0,1,0.0,1,97,0.191,0.0,3.8830347156134337,1,1.5046544558940846,0.0,0.7569,0.49733333333333335
279.0,0.0,4.0,4384.0,2040.0,2344.0,4,0.99,1.99,1.74,4,0.0,4,151,0.159,0.0,2.1611910995477612,2,1.4943318376783883,-0.6369,0.9887,0.732125
424.0,2.99,12.0,3781.0,1447.0,2334.0,7,1.99,1.99,1.99,4,0.464,1,268,0.16999999999999998,0.003278688524590164,5.468978672742282,7,1.3722656122514363,0.2732,0.9787,0.7099833333333333
11.0,0.0,4.0,2993.0,1703.0,1290.0,4,0.99,9.99,4.49,2,0.0,1,536,0.067,0.0,2.6051447433959383,1,1.5046544558940846,-0.3687,0.875,0.49933333333333335
25.0,1.99,4.0,2507.0,1950.0,557.0,1,0.0,0.0,0.0,3,0.0,1,77,0.186,0.0,3.6082349654065093,1,1.5046544558940846,-0.743,0.9843,0.3018666666666667
68.0,0.0,12.0,2894.0,2156.0,738.0,7,0.99,99.99,25.847142857142863,3,0.0,1,129,0.30900000000000005,0.0,5.150854036470233,3,1.3446981839963057,0.3612,0.9371,0.6597714285714285
228.0,0.0,4.0,2900.0,2316.0,584.0,10,0.99,19.99,4.99,5,0.0,1,218,0.265,0.007547169811320755,4.714247561556064,1,1.5046544558940846,0.0,0.9918,0.7102
5.0,2.99,9.0,2893.0,2141.0,752.0,5,4.99,89.99,33.989999999999995,4,0.0,3,172,0.189,0.004694835680751174,4.711277430774312,12,1.4283414737763875,-0.9445,0.6771,0.1468
261.0,0.0,4.0,2520.0,2510.0,10.0,10,1.99,69.99,15.389999999999997,6,0.0,1,346,0.225,0.0,3.9783391456642794,64,1.5976695130044276,-0.6597,0.9953,0.60468
30.0,0.0,9.0,2085.0,1536.0,549.0,4,0.99,19.99,8.99,4,0.464,4,122,0.23199999999999998,0.0,5.198294403003299,1,1.5046544558940846,-0.3252,0.9633,0.6836333333333333
2112.0,1.99,12.0,3368.0,2090.0,1278.0,5,0.99,9.99,4.390000000000001,3,0.872,1,129,0.286,0.0,6.342169192227867,5,1.5908315259031593,-0.8355,0.9987,0.6823375
28.0,1.99,4.0,2670.0,2626.0,44.0,1,0.0,0.0,0.0,6,0.375,1,337,0.252,0.005305039787798408,4.803125693206006,1,1.5046544558940846,-0.4404,0.9735,0.37344285714285713
41.0,2.99,12.0,3200.0,1458.0,1742.0,2,1.99,1.99,1.99,3,0.565,1,291,0.23199999999999998,0.0029411764705882353,6.483666363376636,7,1.3722656122514363,-0.971,0.8508,0.19366666666666665
6.0,0.0,17.0,2569.0,2569.0,0.0,5,0.99,0.99,0.99,6,0.0,1,50,0.187,0.0,2.024250133192279,1,1.5046544558940846,0.0772,0.8225,0.44985
8409.0,2.99,4.0,4553.0,2121.0,2432.0,10,0.99,6.99,2.09,3,0.0,1,519,0.211,0.0017761989342806395,3.1838185159071264,9,1.596573251771401,-0.8074,0.9445,0.20917500000000003
