User Rating Count,Price,Age Rating,Size,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,sub_sia,desc_word_count,excitement_score,attractive_score,icon_objects,Icon1,Icon2,Icon3,Icon4,Icon5,Icon6,Icon7,Icon8,dev_freq,dev_avg,lowest_review,highest_review,average_review
279,0,4,8681472,4379,2035,2344,4,0.99,1.99,1.74,4,0,4,0,151,0.159,0,540,-0.130652135,-0.204704218,0.297511308,0.045431601,-0.078197624,0.053775482,0.013998129,-0.106807043,2,1.494331838,-0.6369,0.9887,0.88422
424,2.99,12,237217792,3776,1442,2334,7,1.99,1.99,1.99,4,0.464,1,0,268,0.17,0.003278689,4241,-0.002896804,0.160400742,-0.135844699,0.030716749,0.16123121,-0.136033552,0.001819236,-0.03628337,7,1.372265612,0.2732,0.9787,0.709983333
11,0,4,13533184,2988,1698,1290,4,0.99,9.99,4.49,2,0,1,0,536,0.067,0,615,-0.040702353,-0.295001361,0.29571114,0.083212866,0.044825182,0.094062256,-0.113158111,0.048311561,1,1.504654456,-0.3687,0.875,0.499333333
25,1.99,4,36900864,2502,1945,557,1,0,0,0,3,0,1,0,77,0.186,0,352,0.509741652,-0.244392295,-0.053726638,-0.02227528,0.008749164,0.338692851,0.014953663,-0.056422651,1,1.504654456,-0.743,0.9843,0.301866667
68,0,12,172578816,2889,2151,738,7,0.99,99.99,25.84714286,3,0,1,0,129,0.309,0,4913,-0.030073961,-0.024890945,-0.214340942,0.217913174,0.049802917,-0.042672054,0.03115576,-0.148731242,3,1.344698184,0.3612,0.9371,0.659771429
228,0,4,111524864,2895,2311,584,10,0.99,19.99,4.99,5,0,1,0,218,0.265,0.00754717,2150,-0.149432212,0.144192864,0.000433837,-0.135985321,-0.161291006,0.000787922,-0.040992931,-0.045247572,1,1.504654456,0,0.9918,0.828566667
5,2.99,9,111194112,2888,2136,752,5,4.99,89.99,33.99,4,0,3,0.661,172,0.189,0.004694836,2579,-0.213966881,0.070614473,-0.137972154,0.273167184,-0.134026874,-0.027969385,-0.120514786,0.156166987,12,1.428341474,-0.9445,0.6771,0.1468
261,0,4,53428224,2515,2505,10,10,1.99,69.99,15.39,6,0,1,0,346,0.225,0,1241,0.129157786,0.019501002,-0.022715967,-0.014262151,0.082836709,-0.214576733,-0.013966429,-0.092816646,64,1.597669513,-0.6597,0.9953,0.920775
30,0,9,180963328,2080,1531,549,4,0.99,19.99,8.99,4,0.464,4,0,122,0.232,0,2264,-0.127325039,0.064644061,-0.128416131,0.23494112,0.323853229,-0.108506613,0.04370394,-0.132772714,1,1.504654456,-0.3252,0.9633,0.8097375
2112,1.99,12,568027136,3363,2085,1278,5,0.99,9.99,4.39,3,0.872,1,0,129,0.286,0,2746,-0.229038685,0.066755896,0.033846092,-0.058923239,-0.071724523,-0.050770916,0.121171371,-0.008765043,5,1.590831526,-0.8355,0.9987,0.899171429
28,1.99,4,121890816,2665,2621,44,1,0,0,0,6,0.375,1,0,337,0.252,0.00530504,575,-0.056281527,-0.290047688,0.113887329,0.009475464,0.005389943,0.040656551,-0.001099209,-0.031792764,1,1.504654456,-0.4404,0.9735,0.373442857
41,2.99,12,654365696,3195,1453,1742,2,1.99,1.99,1.99,3,0.565,1,0,291,0.232,0.002941176,3249,-0.020021811,-0.007464236,-0.188444476,-0.070147075,0.126155045,-0.136535967,0.047777612,-0.008824659,7,1.372265612,-0.971,0.8508,0.193666667
6,0,17,7570432,2564,2564,0,5,0.99,0.99,0.99,6,0,1,0,50,0.187,0,2209,-0.192764142,0.042626511,-0.081989092,-0.078582515,0.118195392,-0.043823799,-0.052160278,-0.051911741,1,1.504654456,0.0772,0.8225,0.44985
8409,2.99,4,24138752,4548,2116,2432,10,0.99,6.99,2.09,3,0,1,0,519,0.211,0.001776199,942,-0.331906814,0.232824476,0.100995087,-0.139908972,-0.088791581,0.153474652,-0.097090836,0.009981196,9,1.596573252,-0.8074,0.9445,0.209175
2215,0,4,260145152,2508,1451,1057,10,1.99,14.99,6.29,5,0,3,0,667,0.187,0,2871,-0.202747226,0.046955926,-0.171581834,-0.139395886,-0.006400956,0.016128825,0.009455606,0.054554292,1,1.504654456,0.1027,0.989,0.886025
860,2.99,9,101088256,2117,1813,304,3,2.99,9.99,5.99,3,0.6,4,0,205,0.28,0.016326531,2287,0.316006436,0.118559505,-0.169394604,0.034228173,-0.066887615,0.023194179,0.023751756,0.023773348,2,1.638857086,0.25,0.9764,0.739325
15420,0,4,146942976,2116,1509,607,10,0.99,19.99,5.59,3,0.545,5,0,236,0.292,0.003533569,2569,-0.346848609,-0.038731827,-0.0105028,-0.169453934,-0.017054709,0.052151266,0.01220775,0.032717173,3,1.644131042,-0.8905,0.9837,0.6786
9,0,4,52178944,4037,3030,1007,1,0.99,0.99,0.99,3,0,1,0,205,0.127,0,1483,0.340050522,0.007316019,0.021321118,-0.000335906,0.114876607,0.008944941,0.037438382,-0.013472554,1,1.504654456,-0.2247,0.9603,0.43882
36,0,9,27804672,3736,1488,2248,5,0.99,24.99,8.59,4,0.333,1,0,67,0.255,0,3479,-0.035775237,0.023772811,-0.152261418,0.00758024,0.085257116,-0.049310728,0.120186969,0.040907046,2,1.349806589,-0.5423,0.7831,0.289228571
8,0,4,34808832,2008,1628,380,1,0,0,0,5,0,5,0.583,199,0.281,0.004444444,4437,-0.320534944,-0.173744417,-0.103390185,-0.064361007,-0.069231969,0.018163413,-0.008145967,-0.099005913,1,1.504654456,0.6369,0.6369,0.6369
